Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,region,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,date_ch,Bleaching_Comments
7981,10311840,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,15,4,2018,10,Nutrient Indicator Algae,15.62,Population,0,262.15,300.41,299.86,294.35,304.37,1.98,8,1.12,0.88,0,-4.73,2.88,12,4.71,25.33,5.67,5.29,2.63,14.79,2.07,-1.88,1.98,-7.94,2.07,-2.42,2.67,1.17,4.67,0,0,0.81,6.61,0.23,2018/4/15,nd,2018/4/15,
7985,10312037,Reef_Check,22.0379,121.5217,Pacific,121.521693E.22.0379N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,204.75,Exposed,0.0307,62.05,30,4,2016,10,Hard Coral,22.5,Population,0,262.15,301.74,300.1,295.18,304.76,1.86,5,1.33,0.91,0,-4.13,2.95,8.29,5.68,26.14,6.29,1.18,3.09,17.27,2.37,-0.56,1.86,-7.11,2.45,-2.19,0.71,1.44,6,0.86,0,1.02,7.91,0.35,2016/4/30,nd,2016/4/30,
7985,10312037,Reef_Check,22.0379,121.5217,Pacific,121.521693E.22.0379N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,204.75,Exposed,0.0307,62.05,30,4,2016,10,Nutrient Indicator Algae,6.88,Population,0,262.15,301.74,300.1,295.18,304.76,1.86,5,1.33,0.91,0,-4.13,2.95,8.29,5.68,26.14,6.29,1.18,3.09,17.27,2.37,-0.56,1.86,-7.11,2.45,-2.19,0.71,1.44,6,0.86,0,1.02,7.91,0.35,2016/4/30,nd,2016/4/30,
7985,10312038,Reef_Check,22.0379,121.5217,Pacific,121.521693E.22.0379N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,204.75,Exposed,0.0307,62.05,30,4,2016,5,Hard Coral,17.5,Population,0,262.15,301.74,300.1,295.18,304.76,1.86,5,1.33,0.91,0,-4.13,2.95,8.29,5.68,26.14,6.29,1.18,3.09,17.27,2.37,-0.56,1.86,-7.11,2.45,-2.19,0.71,1.44,6,0.86,0,1.02,7.91,0.35,2016/4/30,nd,2016/4/30,
7985,10312038,Reef_Check,22.0379,121.5217,Pacific,121.521693E.22.0379N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,204.75,Exposed,0.0307,62.05,30,4,2016,5,Nutrient Indicator Algae,0,Population,0,262.15,301.74,300.1,295.18,304.76,1.86,5,1.33,0.91,0,-4.13,2.95,8.29,5.68,26.14,6.29,1.18,3.09,17.27,2.37,-0.56,1.86,-7.11,2.45,-2.19,0.71,1.44,6,0.86,0,1.02,7.91,0.35,2016/4/30,nd,2016/4/30,
7989,10312087,Reef_Check,22.0662,121.5709,Pacific,121.570873E.22.066209N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,117.63,Exposed,0.0368,62.05,10,6,2017,10,Hard Coral,46.88,Population,0,302.14,302.23,299.99,295.04,305.07,1.87,7,0.63,0.92,0,-4.75,2.95,15,6.16,31,6,3.97,3.23,17.72,2.38,0.09,1.87,-7.09,2.92,-2.14,6,1.59,6,1,1,1.15,9.8,0.41,2017/6/10,nd,2017/6/10,
7989,10312087,Reef_Check,22.0662,121.5709,Pacific,121.570873E.22.066209N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,117.63,Exposed,0.0368,62.05,10,6,2017,10,Nutrient Indicator Algae,3.12,Population,0,302.14,302.23,299.99,295.04,305.07,1.87,7,0.63,0.92,0,-4.75,2.95,15,6.16,31,6,3.97,3.23,17.72,2.38,0.09,1.87,-7.09,2.92,-2.14,6,1.59,6,1,1,1.15,9.8,0.41,2017/6/10,nd,2017/6/10,
7990,10312029,Reef_Check,22.0682,121.5163,Pacific,121.516333E.22.082083N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,147.63,Exposed,0.036,62.05,1,7,2018,10,Hard Coral,52.5,Population,0,262.15,302.45,300.12,295.17,304.78,1.85,9,0.32,0.91,0,-4.16,2.9,13.71,5.59,25.71,6.57,4.23,3.08,17.28,2.38,0.16,1.85,-7.12,2.47,-2.17,2,1.43,5.86,0.71,0.19,1.02,7.95,0.35,2018/7/1,nd,2018/7/1,
7990,10312029,Reef_Check,22.0682,121.5163,Pacific,121.516333E.22.082083N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,147.63,Exposed,0.036,62.05,1,7,2018,10,Nutrient Indicator Algae,1.25,Population,0,262.15,302.45,300.12,295.17,304.78,1.85,9,0.32,0.91,0,-4.16,2.9,13.71,5.59,25.71,6.57,4.23,3.08,17.28,2.38,0.16,1.85,-7.12,2.47,-2.17,2,1.43,5.86,0.71,0.19,1.02,7.95,0.35,2018/7/1,nd,2018/7/1,
7990,10312030,Reef_Check,22.0682,121.5163,Pacific,121.516333E.22.082083N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Taitung County,Lanyu Township,southeast,nd,147.63,Exposed,0.036,62.05,30,6,2019,10,Hard Coral,48.33,Population,0,262.15,303.02,300.12,295.17,304.78,1.85,7,0.9,0.91,0,-4.16,2.9,14.86,5.59,25.71,6.57,8.28,3.08,17.28,2.38,0.73,1.85,-7.12,2.47,-2.17,1.43,1.43,5.86,0.71,0.23,1.02,7.95,0.35,2019/6/30,nd,2019/6/30,
